season,team,player_id,pfr_id,esb_id,gsis_it_id,smart_id,player_name,first_name,last_name,football_name,position,depth_chart_position,ngs_position,jersey_number,status,birth_date,age,height,weight,college,years_exp,entry_year,rookie_year,draft_club,draft_number
2004,TB,00-0000100,,AHA444955,,32004148-4144-4955-af48-b12bdd5df580,Chidi Ahanotu,Chidi,Ahanotu,Chidi,DE,,,95,ACT,1970-10-11,33,74.0,285.0,,11,1993,1993,TB,145
2002,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,27,70.0,200.0,,5,1997,1997,,
2003,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,28,70.0,200.0,,6,1997,1997,,
2004,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,29,70.0,200.0,,7,1997,1997,,
2005,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,30,70.0,200.0,,8,1997,1997,,
2006,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,31,70.0,200.0,,9,1997,1997,,
2007,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,32,70.0,200.0,,10,1997,1997,,
2008,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,33,70.0,200.0,,11,1997,1997,,
2009,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,34,70.0,200.0,,12,1997,1997,,
2010,PHI,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,35,70.0,200.0,,13,1997,1997,,
2011,SF,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,36,70.0,200.0,,14,1997,1997,,
2012,SF,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,37,70.0,200.0,,15,1997,1997,,
2013,DET,00-0000108,,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,David Akers,David,Akers,David,K,,,2,ACT,1974-12-09,38,70.0,200.0,,16,1997,1997,,
2002,CLV,00-0000112,,AKI494748,,3200414b-4949-4748-fbb5-c27cf4001916,Chris Akins,Chris,Akins,Chris,SS,,,36,ACT,1976-11-29,25,71.0,195.0,,3,1999,1999,GB,212
2003,NE,00-0000112,,AKI494748,,3200414b-4949-4748-fbb5-c27cf4001916,Chris Akins,Chris,Akins,Chris,FS,,,34,ACT,1976-11-29,26,71.0,200.0,,4,1999,1999,GB,212
2002,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,C,,,67,ACT,1971-05-01,31,77.0,273.0,,8,1994,1994,,
2003,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,C,,,71,ACT,1971-05-01,32,77.0,265.0,,9,1994,1994,,
2004,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,C,,,71,ACT,1971-05-01,33,77.0,265.0,,10,1994,1994,,
2005,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,71,ACT,1971-05-01,34,77.0,265.0,,11,1994,1994,,
2006,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,71,ACT,1971-05-01,35,77.0,265.0,,12,1994,1994,,
2007,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,67,ACT,1971-05-01,36,77.0,257.0,,13,1994,1994,,
2008,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,67,ACT,1971-05-01,37,77.0,248.0,,14,1994,1994,,
2009,WAS,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,67,ACT,1971-05-01,38,77.0,248.0,,15,1994,1994,,
2010,SD,00-0000121,,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,Ethan Albright,Lawrence,Albright,Ethan,LS,,,64,CUT,1971-05-01,39,77.0,260.0,,16,1994,1994,,
2002,PIT,00-0000136,,ALE082928,,3200414c-4508-2928-109e-95e453eee0a5,Brent Alexander,Ronald,Alexander,Brent,FS,,,0,ACT,1971-07-10,31,71.0,200.0,,8,1994,1994,,
2003,PIT,00-0000136,,ALE082928,,3200414c-4508-2928-109e-95e453eee0a5,Brent Alexander,Ronald,Alexander,Brent,FS,,,0,ACT,1971-07-10,32,71.0,200.0,,9,1994,1994,,
2004,NYG,00-0000136,,ALE082928,,3200414c-4508-2928-109e-95e453eee0a5,Brent Alexander,Ronald,Alexander,Brent,FS,,,0,ACT,1971-07-10,33,71.0,200.0,,10,1994,1994,,
2005,NYG,00-0000136,,ALE082928,,3200414c-4508-2928-109e-95e453eee0a5,Brent Alexander,Ronald,Alexander,Brent,FS,,,0,ACT,1971-07-10,34,71.0,200.0,,11,1994,1994,,
2002,MIN,00-0000145,,ALE225855,,3200414c-4522-5855-9980-3975fad013b4,Derrick Alexander,Derrick,Alexander,Derrick,WR,,,82,RES,1971-11-06,30,74.0,206.0,,8,1994,1994,CLE,29
2002,SD,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,81,ACT,1975-11-07,26,76.0,250.0,,4,1998,1998,WAS,48
2003,SD,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,80,RES,1975-11-07,27,76.0,250.0,,5,1998,1998,WAS,48
2004,DET,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,86,ACT,1975-11-07,28,76.0,250.0,,6,1998,1998,WAS,48
2005,DEN,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,82,ACT,1975-11-07,29,76.0,250.0,,7,1998,1998,WAS,48
2006,DEN,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,82,ACT,1975-11-07,30,76.0,250.0,,8,1998,1998,WAS,48
2007,DEN,00-0000166,,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,Stephen Alexander,Stephen,Alexander,Stephen,TE,,,82,RES,1975-11-07,31,76.0,250.0,,9,1998,1998,WAS,48
2002,HST,00-0000210,,ALL436745,,3200414c-4c43-6745-6a07-948d378a104e,James Allen,James,Allen,James,RB,,,20,ACT,1975-03-28,27,70.0,215.0,,5,1997,1997,,
2002,DAL,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,73,RES,1971-11-27,30,75.0,335.0,,8,1994,1994,DAL,46
2003,DAL,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,73,ACT,1971-11-27,31,75.0,335.0,,9,1994,1994,DAL,46
2004,DAL,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,73,ACT,1971-11-27,32,75.0,325.0,,10,1994,1994,DAL,46
2005,DAL,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,73,ACT,1971-11-27,33,75.0,325.0,,11,1994,1994,DAL,46
2006,SF,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,71,ACT,1971-11-27,34,75.0,325.0,,12,1994,1994,DAL,46
2007,SF,00-0000217,,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,Larry Allen,Larry,Allen,Larry,G,,,71,ACT,1971-11-27,35,75.0,325.0,,13,1994,1994,DAL,46
2002,KC,00-0000231,,ALL645442,,3200414c-4c64-5442-210b-a214f893a077,Taje Allen,Taje,Allen,Taje,CB,,,26,ACT,1973-11-06,28,71.0,184.0,,5,1997,1997,SL,158
2002,KC,00-0000240,,ALL797433,,3200414c-4c79-7433-f308-22be00c045ee,Victor Allotey,Victor,Allotey,Victor,G,,,69,RES,1975-04-08,27,75.0,330.0,,4,1998,1998,BUF,198
2002,PIT,00-0000242,,ALL808470,,3200414c-4c80-8470-e796-4550bae428e3,John Allred,John,Allred,John,TE,,,85,ACT,1974-09-09,27,76.0,246.0,,5,1997,1997,CHI,38
2002,TB,00-0000251,,ALS635685,,3200414c-5363-5685-9704-40e67186e91f,Mike Alstott,Mike,Alstott,Mike,FB,,,40,ACT,1973-12-21,28,73.0,248.0,,6,1996,1996,TB,35
2003,TB,00-0000251,,ALS635685,,3200414c-5363-5685-9704-40e67186e91f,Mike Alstott,Mike,Alstott,Mike,FB,,,40,RES,1973-12-21,29,73.0,248.0,,7,1996,1996,TB,35
2004,TB,00-0000251,,ALS635685,,3200414c-5363-5685-9704-40e67186e91f,Mike Alstott,Mike,Alstott,Mike,FB,,,40,ACT,1973-12-21,30,73.0,248.0,,8,1996,1996,TB,35
2005,TB,00-0000251,,ALS635685,,3200414c-5363-5685-9704-40e67186e91f,Mike Alstott,Mike,Alstott,Mike,FB,,,40,ACT,1973-12-21,31,73.0,248.0,,9,1996,1996,TB,35
2006,TB,00-0000251,,ALS635685,,3200414c-5363-5685-9704-40e67186e91f,Mike Alstott,Mike,Alstott,Mike,FB,,,40,ACT,1973-12-21,32,73.0,248.0,,10,1996,1996,TB,35
2002,ATL,00-0000261,,AMB266360,,3200414d-4226-6360-2f78-64b66a144f6d,Ashley Ambrose,Ashley,Ambrose,Ashley,CB,,,33,ACT,1970-09-17,31,70.0,187.0,,10,1992,1992,IND,29
2003,NO,00-0000261,,AMB266360,,3200414d-4226-6360-2f78-64b66a144f6d,Ashley Ambrose,Ashley,Ambrose,Ashley,CB,,,33,ACT,1970-09-17,32,70.0,190.0,,11,1992,1992,IND,29
2004,NO,00-0000261,,AMB266360,,3200414d-4226-6360-2f78-64b66a144f6d,Ashley Ambrose,Ashley,Ambrose,Ashley,CB,,,33,RES,1970-09-17,33,71.0,195.0,,12,1992,1992,IND,29
2002,KC,00-0000281,,AND017725,,3200414e-4401-7725-9000-4e4db91447c7,Jason Andersen,Jason,Andersen,Jason,C,,,67,ACT,1975-09-03,26,78.0,315.0,,4,1998,1998,NE,211
2002,KC,00-0000282,,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,Morten Andersen,Morten,Andersen,Morten,K,,,8,RES,1960-08-19,42,74.0,217.0,,20,1982,1982,NO,86
2003,KC,00-0000282,,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,Morten Andersen,Morten,Andersen,Morten,K,,,8,ACT,1960-08-19,43,74.0,217.0,,21,1982,1982,NO,86
2004,MIN,00-0000282,,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,Morten Andersen,Morten,Andersen,Morten,K,,,7,ACT,1960-08-19,44,74.0,225.0,,22,1982,1982,NO,86
2006,ATL,00-0000282,,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,Morten Andersen,Morten,Andersen,Morten,K,,,5,ACT,1960-08-19,46,74.0,225.0,,24,1982,1982,NO,86
2007,ATL,00-0000282,,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,Morten Andersen,Morten,Andersen,Morten,K,,,5,ACT,1960-08-19,47,74.0,225.0,,25,1982,1982,NO,86
2002,MIN,00-0000313,,AND273108,,3200414e-4427-3108-1809-a396fee76085,Gary Anderson,Gary,Anderson,Gary,K,,,1,ACT,1959-07-16,43,71.0,193.0,,20,1982,1982,BUF,171
2003,TEN,00-0000313,,AND273108,,3200414e-4427-3108-1809-a396fee76085,Gary Anderson,Gary,Anderson,Gary,K,,,1,ACT,1959-07-16,44,71.0,193.0,,21,1982,1982,BUF,171
2004,TEN,00-0000313,,AND273108,,3200414e-4427-3108-1809-a396fee76085,Gary Anderson,Gary,Anderson,Gary,K,,,1,ACT,1959-07-16,45,71.0,193.0,,22,1982,1982,BUF,171
2002,NYJ,00-0000339,,AND421668,,3200414e-4442-1668-92c2-aa673041a926,Richie Anderson,Richie,Anderson,Richie,FB,,,20,ACT,1971-09-13,30,74.0,230.0,,9,1993,1993,NYJ,144
2003,DAL,00-0000339,,AND421668,,3200414e-4442-1668-92c2-aa673041a926,Richie Anderson,Richie,Anderson,Richie,FB,,,20,ACT,1971-09-13,31,74.0,230.0,,10,1993,1993,NYJ,144
2004,DAL,00-0000339,,AND421668,,3200414e-4442-1668-92c2-aa673041a926,Richie Anderson,Richie,Anderson,Richie,FB,,,20,RES,1971-09-13,32,74.0,215.0,,11,1993,1993,NYJ,144
2002,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,27,77.0,340.0,,6,1996,1996,CIN,10
2003,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,28,77.0,340.0,,7,1996,1996,CIN,10
2004,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,29,77.0,340.0,,8,1996,1996,CIN,10
2005,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,30,77.0,340.0,,9,1996,1996,CIN,10
2006,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,31,77.0,340.0,,10,1996,1996,CIN,10
2007,CIN,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,71,ACT,1975-07-11,32,77.0,340.0,,11,1996,1996,CIN,10
2008,BLT,00-0000352,,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,Willie Anderson,Willie,Anderson,Willie,T,,,79,ACT,1975-07-11,33,77.0,340.0,,12,1996,1996,CIN,10
2002,NE,00-0000374,,AND825516,,3200414e-4482-5516-785d-8c64197bb3d7,Joe Andruzzi,Joseph,Andruzzi,Joe,G,,,63,ACT,1975-08-23,27,75.0,312.0,,5,1997,1997,,
2003,NE,00-0000374,,AND825516,,3200414e-4482-5516-785d-8c64197bb3d7,Joe Andruzzi,Joseph,Andruzzi,Joe,G,,,63,ACT,1975-08-23,28,75.0,312.0,,6,1997,1997,,
2004,NE,00-0000374,,AND825516,,3200414e-4482-5516-785d-8c64197bb3d7,Joe Andruzzi,Joseph,Andruzzi,Joe,G,,,63,ACT,1975-08-23,29,75.0,312.0,,7,1997,1997,,
2005,CLV,00-0000374,,AND825516,,3200414e-4482-5516-785d-8c64197bb3d7,Joe Andruzzi,Joseph,Andruzzi,Joe,G,,,63,ACT,1975-08-23,30,75.0,315.0,,8,1997,1997,,
2006,CLV,00-0000374,,AND825516,,3200414e-4482-5516-785d-8c64197bb3d7,Joe Andruzzi,Joseph,Andruzzi,Joe,G,,,63,ACT,1975-08-23,31,75.0,315.0,,9,1997,1997,,
2003,MIN,00-0000400,,ARA195430,,32004152-4119-5430-bfed-de994e6fce04,Leo Araguz,Leo,Araguz,Leo,P,,,2,ACT,1970-01-18,33,71.0,195.0,,9,1994,1994,,
2005,SEA,00-0000400,,ARA195430,,32004152-4119-5430-bfed-de994e6fce04,Leo Araguz,Leo,Araguz,Leo,P,,,2,CUT,1970-01-18,35,71.0,190.0,,11,1994,1994,,
2002,CIN,00-0000421,,ARM028585,,32004152-4d02-8585-68e9-810e94e191f0,JoJuan Armour,JoJuan,Armour,JoJuan,SS,,,33,ACT,1976-07-10,26,71.0,220.0,,3,1999,1999,OAK,224
2002,WAS,00-0000426,,ARM084964,,32004152-4d08-4964-2b92-57414a9854b6,Jessie Armstead,Jessie,Armstead,Jessie,OLB,,,98,ACT,1970-10-26,31,73.0,232.0,,9,1993,1993,NYG,207
2003,WAS,00-0000426,,ARM084964,,32004152-4d08-4964-2b92-57414a9854b6,Jessie Armstead,Jessie,Armstead,Jessie,OLB,,,98,ACT,1970-10-26,32,73.0,237.0,,10,1993,1993,NYG,207
2002,OAK,00-0000439,,ARM642641,,32004152-4d64-2641-4f5c-6a37fa5c0a39,Trace Armstrong,Trace,Armstrong,Trace,DE,,,93,RES,1965-10-05,36,76.0,275.0,,13,1989,1989,CHI,12
2003,OAK,00-0000439,,ARM642641,,32004152-4d64-2641-4f5c-6a37fa5c0a39,Trace Armstrong,Trace,Armstrong,Trace,DE,,,93,RES,1965-10-05,37,76.0,275.0,,14,1989,1989,CHI,12
2002,KC,00-0000488,,ATK321848,,32004154-4b32-1848-eea1-db559ea5c413,Larry Atkins,Larry,Atkins,Larry,OLB,,,50,RES,1975-07-21,27,75.0,250.0,,3,1999,1999,KC,84
2003,OAK,00-0000488,,ATK321848,,32004154-4b32-1848-eea1-db559ea5c413,Larry Atkins,Larry,Atkins,Larry,OLB,,,59,CUT,1975-07-21,28,75.0,250.0,,4,1999,1999,KC,84
2003,MIN,00-0000541,,AVE509598,,32004156-4550-9598-c3f8-8c9a2a57a02c,John Avery,John,Avery,John,RB,,,33,RES,1976-01-11,27,69.0,190.0,,5,1998,1998,MIA,29
2003,MIA,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,OLB,,,50,ACT,1976-09-06,26,73.0,226.0,,4,1999,1999,,
2004,MIA,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,OLB,,,50,ACT,1976-09-06,27,73.0,230.0,,5,1999,1999,,
2005,CHI,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,OLB,,,94,ACT,1976-09-06,28,73.0,228.0,,6,1999,1999,,
2006,CHI,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,OLB,,,94,ACT,1976-09-06,29,73.0,228.0,,7,1999,1999,,
2007,CHI,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,OLB,,,94,ACT,1976-09-06,30,73.0,228.0,,8,1999,1999,,
2008,BLT,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,ILB,,,51,ACT,1976-09-06,31,73.0,228.0,,9,1999,1999,,
2009,BLT,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,ILB,,,51,RES,1976-09-06,32,73.0,225.0,,10,1999,1999,,
2010,BLT,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,ILB,,,51,ACT,1976-09-06,33,73.0,225.0,,11,1999,1999,,
2011,BLT,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,ILB,,,51,ACT,1976-09-06,34,73.0,225.0,,12,1999,1999,,
2012,BLT,00-0000551,,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,Brendon Ayanbadejo,Brendon,Ayanbadejo,Brendon,ILB,,,51,ACT,1976-09-06,35,73.0,225.0,,13,1999,1999,,
2003,MIA,00-0000552,,AYA444955,,32004159-4144-4955-6129-6c136d9bf2d7,Obafemi Ayanbadejo,Obafemi,Ayanbadejo,Obafemi,FB,,,30,ACT,1975-03-05,28,74.0,237.0,,6,1997,1997,,
2004,ARZ,00-0000552,,AYA444955,,32004159-4144-4955-6129-6c136d9bf2d7,Obafemi Ayanbadejo,Obafemi,Ayanbadejo,Obafemi,FB,,,30,ACT,1975-03-05,29,74.0,231.0,,7,1997,1997,,
2005,ARZ,00-0000552,,AYA444955,,32004159-4144-4955-6129-6c136d9bf2d7,Obafemi Ayanbadejo,Obafemi,Ayanbadejo,Obafemi,FB,,,30,ACT,1975-03-05,30,74.0,233.0,,8,1997,1997,,
2006,ARZ,00-0000552,,AYA444955,,32004159-4144-4955-6129-6c136d9bf2d7,Obafemi Ayanbadejo,Obafemi,Ayanbadejo,Obafemi,FB,,,30,ACT,1975-03-05,31,74.0,230.0,,9,1997,1997,,
