roster_row_id,season,team,team_draft_code,franchise_id,player_id,pfr_id,esb_id,smart_id,player_name,first_name,last_name,football_name,position_raw,depth_chart_position_clean,roster_position,position_group,jersey_number,status,status_group,is_active,birth_date,age,height,weight,bmi,college,years_exp,entry_year,rookie_year,draft_club,draft_number,draft_round_est,is_rookie,is_young_player,is_veteran_5plus,is_drafted,is_top100_draftee
2002_ARZ_00-0019518,2002,ARZ,ARI,ARI,00-0019518,,STA573574,32005354-4157-3574-eaf2-50ca274bb744,Jason Starkey,Jason,Starkey,Jason,C,UNK,C,OL,50.0,ACT,active,1,1977-07-15,25.0,76.0,297.0,36.14802631578947,,2.0,2000.0,2000.0,,,,0,1,0,0,0
2002_ARZ_00-0010292,2002,ARZ,ARI,ARI,00-0010292,,MAK482869,32004d41-4b48-2869-5901-d94344ff9e4a,Joel Makovicka,Joel,Makovicka,Joel,FB,UNK,FB,RB,34.0,ACT,active,1,1975-10-06,26.0,71.0,251.0,35.00357072009522,,3.0,1999.0,1999.0,ARZ,116.0,4.0,0,0,0,1,0
2002_ARZ_00-0005217,2002,ARZ,ARI,ARI,00-0005217,,FIN029663,32004649-4e02-9663-ff3e-6204b33c48ff,John Fina,John,Fina,John,T,UNK,T,OL,74.0,RES,reserve,0,1969-03-11,33.0,77.0,300.0,35.5709225839096,,10.0,1992.0,1992.0,BUF,27.0,1.0,0,0,1,1,1
2002_ARZ_00-0014209,2002,ARZ,ARI,ARI,00-0014209,,RUT743171,32005255-5474-3171-a828-c24cb8e9a8c9,Johnny Rutledge,Johnny,Rutledge,Johnny,MLB,UNK,MLB,LB,58.0,ACT,active,1,1977-01-04,25.0,75.0,239.0,29.869688888888888,,3.0,1999.0,1999.0,ARZ,51.0,2.0,0,0,0,1,1
2002_ARZ_00-0021206,2002,ARZ,ARI,ARI,00-0021206,McCoJo01,MCC600777,32004d43-4360-0777-1931-84279757cab3,Josh McCown,Joshua,McCown,Josh,QB,UNK,QB,QB,12.0,ACT,active,1,1979-07-04,23.0,76.0,220.0,26.776315789473685,Sam Houston State,0.0,2002.0,2002.0,ARZ,81.0,3.0,1,1,0,1,1
2002_ARZ_00-0018563,2002,ARZ,ARI,ARI,00-0018563,,LUC070577,32004c55-4307-0577-cf8f-76dc14eab3ff,Justin Lucas,Justin,Lucas,Justin,SS,UNK,SS,DB,41.0,ACT,active,1,1976-07-15,26.0,70.0,198.0,28.40693877551021,,3.0,1999.0,1999.0,,,,0,0,0,0,0
2002_ARZ_00-0020191,2002,ARZ,ARI,ARI,00-0020191,,ROG449131,3200524f-4744-9131-debd-899a05c48072,Kendrick Rogers,Kendrick,Rogers,Kendrick,T,UNK,T,OL,78.0,ACT,active,1,1976-10-10,25.0,77.0,291.0,34.50379490639231,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0020256,2002,ARZ,ARI,ARI,00-0020256,,KAS392040,32004b41-5339-2040-18b0-f6914048a82e,Kevin Kasper,Kevin,Kasper,Kevin,WR,UNK,WR,WR,11.0,ACT,active,1,1977-12-23,24.0,72.0,193.0,26.172646604938272,,1.0,2001.0,2001.0,DEN,190.0,6.0,0,1,0,1,0
2002_ARZ_00-0009659,2002,ARZ,ARI,ARI,00-0009659,,LAS648660,32004c41-5364-8660-ce5f-e4027f4e6994,Kwamie Lassiter,Kwamie,Lassiter,Kwamie,FS,UNK,FS,DB,42.0,ACT,active,1,1969-12-03,32.0,72.0,207.0,28.071180555555557,,7.0,1995.0,1995.0,,,,0,0,1,0,0
2002_ARZ_00-0020382,2002,ARZ,ARI,ARI,00-0020382,,VAN378810,32005641-4e37-8810-f9cf-269d87600644,Kyle Vanden Bosch,Kyle,Vanden Bosch,Kyle,DE,UNK,DE,DL,93.0,ACT,active,1,1978-11-17,23.0,76.0,263.0,32.00986842105263,,1.0,2001.0,2001.0,ARZ,34.0,2.0,0,1,0,1,1
2002_ARZ_00-0014776,2002,ARZ,ARI,ARI,00-0014776,,SHE428521,32005348-4542-8521-7c34-8dc15455b600,L.J. Shelton,Lonnie,Shelton,L.J.,T,UNK,T,OL,70.0,ACT,active,1,1976-03-21,26.0,78.0,335.0,38.70890861275477,,3.0,1999.0,1999.0,ARZ,21.0,1.0,0,0,0,1,1
2002_ARZ_00-0020025,2002,ARZ,ARI,ARI,00-0020025,,WOO528198,3200574f-4f52-8198-a6cf-34d9b9effc9a,LeVar Woods,LeVar,Woods,LeVar,OLB,UNK,OLB,LB,56.0,ACT,active,1,1978-03-15,24.0,75.0,245.0,30.619555555555557,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0020533,2002,ARZ,ARI,ARI,00-0020533,,DAV527481,32004441-5652-7481-3dd6-d969c02b28e7,Leonard Davis,Leonard,Davis,Leonard,T,UNK,T,OL,75.0,RES,reserve,0,1978-09-05,23.0,78.0,372.0,42.98422090729783,,1.0,2001.0,2001.0,ARZ,2.0,1.0,0,1,0,1,1
2002_ARZ_00-0021177,2002,ARZ,ARI,ARI,00-0021177,,FIS442476,32004649-5344-2476-4ce3-54f3b984b735,Levar Fisher,Levar,Fisher,Levar,OLB,UNK,OLB,LB,52.0,RES,reserve,0,1979-07-02,23.0,73.0,233.0,30.73728654531807,,0.0,2002.0,2002.0,ARZ,49.0,2.0,1,1,0,1,1
2002_ARZ_00-0008357,2002,ARZ,ARI,ARI,00-0008357,,JEN397575,32004a45-4e39-7575-4db3-07d3b9b56947,MarTay Jenkins,D,Jenkins,MarTay,WR,UNK,WR,WR,82.0,RES,reserve,0,1975-02-28,27.0,72.0,206.0,27.93557098765432,,3.0,1999.0,1999.0,DAL,193.0,7.0,0,0,0,1,0
2002_ARZ_00-0020022,2002,ARZ,ARI,ARI,00-0020022,,SHI461748,32005348-4946-1748-3f49-a8d7fc333088,Marcel Shipp,Marcel,Shipp,Marcel,RB,UNK,RB,RB,31.0,ACT,active,1,1978-08-08,24.0,71.0,226.0,31.517159293790915,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0020297,2002,ARZ,ARI,ARI,00-0020297,,BEL476336,32004245-4c47-6336-a309-59fac15e1dec,Marcus Bell,Marcus,Bell,Marcus,DT,UNK,DT,DL,94.0,ACT,active,1,1979-06-01,23.0,74.0,330.0,42.36486486486486,,1.0,2001.0,2001.0,ARZ,123.0,4.0,0,1,0,1,0
2002_ARZ_00-0020307,2002,ARZ,ARI,ARI,00-0020307,,FAT059326,32004641-5405-9326-f0a5-1301d6672120,Mario Fatafehi,Mario,Fatafehi,Mario,DT,UNK,DT,DL,79.0,ACT,active,1,1979-01-27,23.0,74.0,300.0,38.51351351351352,,1.0,2001.0,2001.0,ARZ,133.0,5.0,0,1,0,1,0
2002_ARZ_00-0020383,2002,ARZ,ARI,ARI,00-0020383,,STO426574,32005354-4f42-6574-3b25-89e68a0b395a,Michael Stone,Michael,Stone,Michael,FS,UNK,FS,DB,44.0,ACT,active,1,1978-02-13,24.0,71.0,197.0,27.47292203927792,,1.0,2001.0,2001.0,ARZ,54.0,2.0,0,1,0,1,1
2002_ARZ_00-0020026,2002,ARZ,ARI,ARI,00-0020026,,YOU401988,3200594f-5540-1988-82b2-1c1afa970720,Michael Young,Michael,Young,Michael,MLB,UNK,MLB,LB,53.0,ACT,active,1,1978-06-01,24.0,74.0,247.0,31.70945945945946,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0021103,2002,ARZ,ARI,ARI,00-0021103,,BAN568821,32004241-4e56-8821-3a08-fbbd5c9ce233,Mike Banks,Mike,Banks,Mike,TE,UNK,TE,TE,80.0,ACT,active,1,1979-11-05,22.0,76.0,263.0,32.00986842105263,,0.0,2002.0,2002.0,ARZ,223.0,7.0,1,1,0,1,0
2002_ARZ_00-0006516,2002,ARZ,ARI,ARI,00-0006516,,GRU771855,32004752-5577-1855-8929-c500dcb2c370,Mike Gruttadauria,Michael,Gruttadauria,Mike,C,UNK,C,OL,60.0,RES,reserve,0,1972-12-06,29.0,75.0,280.0,34.99377777777778,,7.0,1995.0,1995.0,,,,0,0,1,0,0
2002_ARZ_00-0021088,2002,ARZ,ARI,ARI,00-0021088,,DWY519112,32004457-5951-9112-7270-99dd321a4166,Nate Dwyer,Nate,Dwyer,Nate,DT,UNK,DT,DL,72.0,ACT,active,1,1978-09-30,23.0,75.0,316.0,39.492977777777774,,0.0,2002.0,2002.0,ARZ,113.0,4.0,1,1,0,1,0
2002_ARZ_00-0020021,2002,ARZ,ARI,ARI,00-0020021,,POO453987,3200504f-4f45-3987-efce-7d14002dae06,Nate Poole,Nate,Poole,Nate,WR,UNK,WR,WR,19.0,ACT,active,1,1977-02-01,25.0,73.0,192.0,25.32857947082004,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0019834,2002,ARZ,ARI,ARI,00-0019834,,HOD104287,3200484f-4410-4287-fb28-8f572423a961,Nathan Hodel,Nathan,Hodel,Nathan,C,UNK,C,OL,48.0,ACT,active,1,1977-11-12,24.0,74.0,245.0,31.4527027027027,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0020017,2002,ARZ,ARI,ARI,00-0020017,,EAS427290,32004541-5342-7290-fff9-c503cf603b9f,Nijrell Eason,Nijrell,Eason,Nijrell,DB,UNK,DB,DB,27.0,ACT,active,1,1979-05-20,23.0,72.0,204.0,27.66435185185185,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0009137,2002,ARZ,ARI,ARI,00-0009137,,KEN043723,32004b45-4e04-3723-1ad6-ef5570bd45a1,Pete Kendall,Pete,Kendall,Pete,G,UNK,G,OL,66.0,RES,reserve,0,1973-07-09,29.0,77.0,288.0,34.148085680553216,,6.0,1996.0,1996.0,SEA,21.0,1.0,0,0,1,1,1
2002_ARZ_00-0021062,2002,ARZ,ARI,ARI,00-0021062,,PAR757957,32005041-5275-7957-a42b-36da43f85908,Preston Parsons,Preston,Parsons,Preston,QB,UNK,QB,QB,15.0,ACT,active,1,1979-02-19,23.0,76.0,230.0,27.99342105263158,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0021055,2002,ARZ,ARI,ARI,00-0021055,,HAR508291,32004841-5250-8291-f892-62f8f320643e,Quentin Harris,Quentin,Harris,Quentin,DB,UNK,DB,DB,29.0,ACT,active,1,1977-01-26,25.0,72.0,215.0,29.156057098765434,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0014086,2002,ARZ,ARI,ARI,00-0014086,,ROU158616,3200524f-5515-8616-f781-b79b5608bf87,Raleigh Roundtree,Raleigh,Roundtree,Raleigh,G,UNK,G,OL,73.0,ACT,active,1,1975-08-31,27.0,76.0,295.0,35.9046052631579,,5.0,1997.0,1997.0,SD,109.0,4.0,0,0,1,1,0
2002_ARZ_00-0019535,2002,ARZ,ARI,ARI,00-0019535,,THO645603,32005448-4f64-5603-7b9b-8b48a291dcd9,Raynoch Thompson,Raynoch,Thompson,Raynoch,OLB,UNK,OLB,LB,55.0,ACT,active,1,1977-11-21,24.0,75.0,217.0,27.120177777777776,,2.0,2000.0,2000.0,ARZ,41.0,2.0,0,1,0,1,1
2002_ARZ_00-0020301,2002,ARZ,ARI,ARI,00-0020301,,HIL570463,32004849-4c57-0463-14ee-c63ee10de9fd,Renaldo Hill,Renaldo,Hill,Renaldo,CB,UNK,CB,DB,21.0,ACT,active,1,1978-11-12,23.0,71.0,183.0,25.52053164054751,,1.0,2001.0,2001.0,ARZ,202.0,7.0,0,1,0,1,0
2002_ARZ_00-0005560,2002,ARZ,ARI,ARI,00-0005560,,FRE105786,32004652-4510-5786-66c8-9208c1a9b658,Rob Fredrickson,Rob,Fredrickson,Rob,OLB,UNK,OLB,LB,59.0,RES,reserve,0,1971-05-13,31.0,76.0,239.0,29.088815789473685,,8.0,1994.0,1994.0,LAR,22.0,1.0,0,0,1,1,1
2002_ARZ_00-0010970,2002,ARZ,ARI,ARI,00-0010970,,MCK662336,32004d43-4b66-2336-6077-dfed078f6598,Ronald McKinnon,Ronald,McKinnon,Ronald,MLB,UNK,MLB,LB,57.0,ACT,active,1,1973-09-20,28.0,72.0,248.0,33.63117283950617,,6.0,1996.0,1996.0,,,,0,0,1,0,0
2002_ARZ_00-0004046,2002,ARZ,ARI,ARI,00-0004046,,DAV722013,32004441-5672-2013-5d52-50d6fc2061da,Russell Davis,Russell,Davis,Russell,DT,UNK,DT,DL,98.0,ACT,active,1,1975-03-28,27.0,76.0,316.0,38.46052631578947,,3.0,1999.0,1999.0,CHI,48.0,2.0,0,0,0,1,1
2002_ARZ_00-0013028,2002,ARZ,ARI,ARI,00-0013028,,PLA800918,3200504c-4180-0918-2276-2df2aa164e58,Scott Player,Scott,Player,Scott,P,UNK,P,ST,10.0,ACT,active,1,1969-12-17,32.0,73.0,221.0,29.154250328391814,,6.0,1996.0,1996.0,,,,0,0,1,0,0
2002_ARZ_00-0002380,2002,ARZ,ARI,ARI,00-0002380,,BUS305892,32004255-5330-5892-fa7e-c3625753b310,Steve Bush,Steven,Bush,Steve,TE,UNK,TE,TE,87.0,ACT,active,1,1974-07-04,28.0,75.0,274.0,34.24391111111111,,5.0,1997.0,1997.0,,,,0,0,1,0,0
2002_ARZ_00-0021054,2002,ARZ,ARI,ARI,00-0021054,,GRA052503,32004752-4105-2503-8d5f-872bb9fca722,Steven Grace,Steven,Grace,Steven,C,UNK,C,OL,64.0,ACT,active,1,1979-02-13,23.0,75.0,296.0,36.99342222222222,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0020943,2002,ARZ,ARI,ARI,00-0020943,,WHI661988,32005748-4966-1988-5cb3-e60ab22a1e71,Teag Whiting,Teag,Whiting,Teag,G,UNK,G,OL,71.0,ACT,active,1,1979-04-16,23.0,75.0,320.0,39.99288888888889,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0019641,2002,ARZ,ARI,ARI,00-0019641,JoneTh00,JON755755,32004a4f-4e75-5755-8f93-be08855fe9b0,Thomas Jones,Thomas,Jones,Thomas,RB,UNK,RB,RB,26.0,RES,reserve,0,1978-08-19,24.0,70.0,220.0,31.56326530612245,,2.0,2000.0,2000.0,ARZ,7.0,1.0,0,1,0,1,1
2002_ARZ_00-0021052,2002,ARZ,ARI,ARI,00-0021052,,DUN382497,32004455-4e38-2497-5c84-54e20092bd05,Tim Duncan,Timothy,Duncan,Tim,K,UNK,K,ST,6.0,ACT,active,1,1979-06-12,23.0,73.0,209.0,27.571214111465565,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0002257,2002,ARZ,ARI,ARI,00-0002257,,BUR227401,32004255-5222-7401-85cb-3bec9f5a6d21,Tom Burke,Thomas,Burke,Tom,DE,UNK,DE,DL,95.0,RES,reserve,0,1976-10-12,25.0,75.0,275.0,34.36888888888889,,3.0,1999.0,1999.0,ARZ,83.0,3.0,0,0,0,1,1
2002_ARZ_00-0021064,2002,ARZ,ARI,ARI,00-0021064,,WRA123742,32005752-4112-3742-a6a8-a063a943acc3,Tony Wragge,Tony,Wragge,Tony,G,UNK,G,OL,68.0,ACT,active,1,1979-08-14,23.0,75.0,311.0,38.86808888888889,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0019609,2002,ARZ,ARI,ARI,00-0019609,,PRE233913,32005052-4523-3913-104f-87acedf32b7f,Travis Prentice,Travis,Prentice,Travis,RB,UNK,RB,RB,25.0,ACT,active,1,1976-12-08,25.0,71.0,221.0,30.819877008530053,,2.0,2000.0,2000.0,CLV,63.0,2.0,0,1,0,1,1
2002_ARZ_00-0021008,2002,ARZ,ARI,ARI,00-0021008,,FAU144639,32004641-5514-4639-2286-fda0f818fae1,Trev Faulk,Treverance,Faulk,Trev,LB,UNK,LB,LB,54.0,ACT,active,1,1981-08-06,21.0,74.0,241.0,30.93918918918919,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0021384,2002,ARZ,ARI,ARI,00-0021384,,BRY736183,32004252-5973-6183-950d-b77665b0f3c4,Wendell Bryant,Wendell,Bryant,Wendell,DT,UNK,DT,DL,91.0,ACT,active,1,1980-09-12,21.0,76.0,308.0,37.48684210526316,,0.0,2002.0,2002.0,ARZ,12.0,1.0,1,1,0,1,1
2002_ATL_00-0020285,2002,ATL,ATL,ATL,00-0020285,,CRU467810,32004352-5546-7810-8740-411882fc32c3,Alge Crumpler,Algernon,Crumpler,Alge,TE,UNK,TE,TE,83.0,ACT,active,1,1977-12-23,24.0,74.0,262.0,33.63513513513514,,1.0,2001.0,2001.0,ATL,35.0,2.0,0,1,0,1,1
2002_ATL_00-0014071,2002,ATL,ATL,ATL,00-0014071,,ROS771225,3200524f-5377-1225-e97d-a3a687be4ab9,Allen Rossum,Allen,Rossum,Allen,CB,UNK,CB,DB,20.0,ACT,active,1,1975-10-22,26.0,68.0,178.0,27.061851211072664,,4.0,1998.0,1998.0,PHI,85.0,3.0,0,0,0,1,1
2002_ATL_00-0016782,2002,ATL,ATL,ATL,00-0016782,,ULM403291,3200554c-4d40-3291-4e65-9e106105c416,Artie Ulmer,Charles,Ulmer,Artie,MLB,UNK,MLB,LB,50.0,ACT,active,1,1973-07-30,29.0,75.0,247.0,30.869511111111112,,5.0,1997.0,1997.0,MIN,220.0,7.0,0,0,1,1,0
2002_ATL_00-0000261,2002,ATL,ATL,ATL,00-0000261,,AMB266360,3200414d-4226-6360-2f78-64b66a144f6d,Ashley Ambrose,Ashley,Ambrose,Ashley,CB,UNK,CB,DB,33.0,ACT,active,1,1970-09-17,31.0,70.0,187.0,26.82877551020408,,10.0,1992.0,1992.0,IND,29.0,1.0,0,0,1,1,1
2002_ATL_00-0002970,2002,ATL,ATL,ATL,00-0002970,,CHR364011,32004348-5236-4011-16dd-1e8883f98490,Bob Christian,Bob,Christian,Bob,FB,UNK,FB,RB,44.0,RES,reserve,0,1968-11-14,33.0,71.0,232.0,32.35389803610395,,11.0,1991.0,1991.0,ATL,310.0,8.0,0,0,1,1,0
2002_ATL_00-0017592,2002,ATL,ATL,ATL,00-0017592,,WHI657906,32005748-4965-7906-c06e-e2ac03e6ca07,Bob Whitfield,Bob,Whitfield,Bob,T,UNK,T,OL,70.0,ACT,active,1,1971-10-18,30.0,77.0,310.0,36.75662000337325,,10.0,1992.0,1992.0,ATL,8.0,1.0,0,0,1,1,1
2002_ATL_00-0015106,2002,ATL,ATL,ATL,00-0015106,,SMI082360,3200534d-4908-2360-b4f8-537d9f478788,Brady Smith,Brady,Smith,Brady,DE,UNK,DE,DL,91.0,ACT,active,1,1973-06-05,29.0,77.0,274.0,32.4881092933041,,6.0,1996.0,1996.0,NO,70.0,3.0,0,0,1,1,1
2002_ATL_00-0005231,2002,ATL,ATL,ATL,00-0005231,,FIN583520,32004649-4e58-3520-402c-d27b0be70001,Brian Finneran,Brian,Finneran,Brian,WR,UNK,WR,WR,86.0,ACT,active,1,1976-01-31,26.0,77.0,210.0,24.89964580873672,,4.0,1998.0,1998.0,,,,0,0,0,0,0
2002_ATL_00-0009443,2002,ATL,ATL,ATL,00-0009443,,KOZ465616,32004b4f-5a46-5616-1fcf-f9ce302e8199,Brian Kozlowski,Brian,Kozlowski,Brian,TE,UNK,TE,TE,85.0,ACT,active,1,1970-10-04,31.0,75.0,250.0,31.244444444444444,,9.0,1993.0,1993.0,,,,0,0,1,0,0
